trialNumber,subid,condition,pre_post,cueTime,bgcTime,trialprog,feedback,feedback_time,baseline,window0,window1,window2,window3,window4
1,PLR121,anticipated_w,pre,1000,4836,1,1,6448,2210.741,-74.178,179.4459,172.3031,38.8913,94.1558
2,PLR121,anticipated_b,pre,1002,4810,1,1,6334,2424.0796,-25.0357,244.4225,465.3868,406.3196,325.3966
3,PLR121,anticipated_w,pre,1002,4810,2,0,NaN,2508.8845,-179.1534,31.8508,95.7401,-41.458,-62.321
4,PLR121,anticipated_w,pre,1002,4810,3,0,NaN,2370.8008,89.5143,284.8266,171.966,185.1089,131.2071
5,PLR121,anticipated_w,pre,1003,4810,4,1,6336,2132.9761,212.6079,330.4441,217.0806,279.4924,323.4525
6,PLR121,unexpected_w,pre,1003,4810,1,0,NaN,2382.8924,76.9983,219.4046,261.3576,350.9605,430.2742
7,PLR121,anticipated_w,pre,1003,4812,5,0,NaN,2092.0956,121.2069,249.5388,386.314,427.8351,348.2695
8,PLR121,anticipated_w,pre,1003,4810,6,0,NaN,2491.3267,110.3309,165.3204,153.9023,31.188,40.3082
9,PLR121,anticipated_b,pre,1003,4810,2,1,6338,2523.8127,-63.9808,82.3553,153.6936,133.7965,161.8142
10,PLR121,anticipated_w,pre,1002,4808,7,0,NaN,2421.6693,126.4987,100.8522,152.1773,182.2803,241.3386
11,PLR121,anticipated_b,pre,1003,4810,3,1,6339,2603.3665,-44.3959,86.562,163.9171,48.5851,131.1493
12,PLR121,anticipated_w,pre,1003,4812,8,0,NaN,2536.9283,88.723,84.8967,-115.016,17.8658,83.786
13,PLR121,anticipated_b,pre,1002,4810,4,0,NaN,2619.2908,-65.9988,34.5579,-231.4694,9.8331,78.8441
14,PLR121,unexpected_b,pre,1003,4812,2,0,NaN,2316.9124,10.1927,33.1045,183.2074,63.3355,122.2543
15,PLR121,anticipated_w,pre,1002,4810,9,1,6336,2712.0239,-75.5239,42.5748,97.2933,8.9572,75.1824
