trialNumber,subid,condition,pre_post,cueTime,bgcTime,trialprog,feedback,baseline,window1,window2,window3,window4
15,PLR124,anticipated_w,pre,1002,4808,6,0,996.048,328.7356,422.7671,265.2398,96.0402
16,PLR124,anticipated_b,pre,1003,4808,4,0,1056.334,206.8068,336.0736,173.9076,-68.1155
17,PLR124,anticipated_b,pre,1003,4810,5,0,1116.088,-22.193,235.9078,433.6473,374.0317
18,PLR124,unexpected_w,pre,1002,4812,7,0,1335.432,-17.8711,-269.0623,-446.4593,-158.5791
19,PLR124,anticipated_b,pre,1003,4812,6,0,922.212,197.143,500.1241,488.0695,73.2334
20,PLR124,unexpected_b,pre,1002,4810,8,0,917.826,20.7559,118.5395,165.945,197.4597
21,PLR124,anticipated_b,pre,1003,4808,7,0,1195.74,9.2894,-102.8661,-111.511,115.155
22,PLR124,unexpected_w,pre,1003,4812,9,0,1280.282,-15.6062,-242.7989,-339.5215,-73.2295
23,PLR124,anticipated_w,pre,1003,4810,7,0,984.638,207.3515,408.3998,438.8914,453.7402
24,PLR124,anticipated_b,pre,1003,4810,8,0,956.98,263.5221,363.6166,397.1944,593.0872
25,PLR124,unexpected_b,pre,1003,4810,10,0,1814.4001,-207.7098,3.9801,522.644,334.9696
26,PLR124,unexpected_w,post,1003,4810,11,0,1827.192,-78.2697,266.2954,178.8311,394.1399
27,PLR124,unexpected_b,post,1003,4810,12,0,1797.132,153.6642,324.8029,81.5319,96.6201
28,PLR124,anticipated_b,pre,1002,4810,9,0,1558.426,124.2736,458.5698,624.5299,779.4416
29,PLR124,anticipated_b,pre,1002,4810,10,0,1741.138,-78.4783,211.2717,110.9439,330.8179
30,PLR124,anticipated_b,post,1002,4810,11,0,1777.436,155.5871,86.1165,-61.4885,133.9001
31,PLR124,unexpected_w,post,1003,4810,13,0,2006.944,-140.7423,-511.0595,-532.0532,-498.3747
32,PLR124,anticipated_w,pre,1002,4808,8,0,1488.328,22.0228,184.3968,208.0712,27.1426
33,PLR124,anticipated_b,post,1003,4814,12,1,1076.488,270.6275,424.3965,448.3754,572.1759
34,PLR124,anticipated_w,pre,1003,4810,9,0,1188.95,216.1067,462.0542,150.7685,-179.8071
35,PLR124,anticipated_b,post,1002,4810,13,0,1086.192,235.1714,408.5601,135.1378,-39.2991
36,PLR124,anticipated_b,post,1002,4808,14,0,1495.258,93.0823,212.668,33.763,322.2021
37,PLR124,anticipated_w,pre,1003,4812,10,0,1644.08,-29.6409,-430.0863,-433.122,57.5166
38,PLR124,anticipated_b,post,1002,4810,15,0,1159.09,263.5382,448.931,182.3869,16.8659
