trialNumber,subid,condition,bgcol,pre_post,pre_post2,cueTime,bgcTime,trialprog,feedback,baseline,window0,window95,window190,window285,window380,window475,window570,window665,window760,window855,window950,window1045,window1140,window1235,window1330,window1425,window1520,window1615,window1710,window1805,window1900,window1995,window2090,window2185,window2280,window2375,window2470,window2565,window2660,window2755,window2850,window2945,window3040,window3135,window3230,window3325,window3420,window3515,window3610,window3705,window3800,window3895,window3990,window4085,window4180,window4275,window4370,window4465,window4560,window4655,window4750,window4845,window4940,window5035,window5130,window5225,window5320,window5415,window5510,window5605,window5700,window5795,window5890,window5985,window6080,window6175,window6270,window6365,window6460,window6555,window6650,window6745,window6840,window6935,window7030,window7125,window7220,window7315,window7410,window7505
7,PLR117,anticipated_w,1,pre,1st,1003,4812,3,0,2065.7933,47.1621,71.9423,40.5486,-18.6358,-49.2996,-55.4088,-44.6802,-3.5167,55.8662,106.9985,135.1476,142.7051,152.1054,167.3599,187.6346,212.1746,241.1956,276.0783,230.3947,58.7232,-71.1406,-122.0273,-114.2788,-75.3226,-39.2559,-0.1981,51.5694,123.9697,197.6013,253.7119,288.0528,314.7836,337.7833,346.3258,328.0111,262.8498,176.4606,129.1563,138.8041,182.4058,239.768,288.7927,170.0571,-298.2976,-686.6711,-846.9918,-928.9832,-988.5827,-1026.7234,-1041.4075,-1015.7502,-975.4827,-937.8991,-901.4043,-864.3858,-825.1487,-766.0843,-725.9286,-789.34,-840.9328,-826.1602,-747.1094,-642.3868,-540.4109,-452.5029,-383.3388,-362.1361,-351.6824,-334.4988,-311.2465,-282.6995,-249.5557,-212.5788,-172.4769,-130.0033,-85.8767,-40.8396,4.3784,49.0454,91.9601
8,PLR117,anticipated_b,0,pre,1st,1002,4810,3,0,2045.9349,93.029,-1.2522,-35.431,-31.338,-15.7686,-12.9823,-18.3515,-4.6625,29.5643,82.0239,139.1651,196.5979,228.5776,235.9164,238.257,239.297,242.4472,252.946,285.8468,294.4553,285.788,273.605,260.2178,247.9221,238.9988,243.2885,273.6383,268.6845,236.6196,238.3567,264.464,285.4,274.2645,240.5062,213.0192,217.2251,252.0549,294.4804,305.5116,282.6545,244.5435,136.759,23.6672,-31.6483,-27.1372,49.3564,148.1467,244.4381,331.6529,403.8704,468.997,531.1039,585.1897,635.126,673.2135,697.4566,709.5656,726.2451,724.0402,560.102,227.358,-128.5289,-353.1716,-384.0856,-331.3545,-252.3035,-161.8413,-64.2751,30.8198,109.7878,170.657,169.8956,86.586,9.2417,5.0902,61.1747,139.9197,211.1763,276.4372,299.1878
9,PLR117,anticipated_w,1,pre,1st,1003,4810,4,0,2196.0636,28.9735,11.2548,22.414,39.3371,16.5907,-21.4664,-32.084,-49.9416,-74.2537,-72.2785,-41.7581,-3.0381,26.7578,51.3994,77.6872,112.4184,162.0308,220.6497,233.7995,156.2979,95.8654,90.2642,104.1388,119.113,113.5937,84.1971,63.7293,99.5112,174.6341,261.7032,298.3501,223.1192,124.8199,88.0289,94.132,110.5595,123.5193,119.7356,98.8743,78.7327,81.4211,101.587,26.1979,-402.8921,-707.5523,-830.4685,-922.6344,-991.6555,-1040.0577,-1070.0702,-1081.7129,-1034.2434,-992.0143,-1023.1269,-1051.2575,-1073.5984,-1100.5232,-1128.1311,-1160.9386,-1169.7096,-1133.769,-1056.608,-956.1631,-854.7046,-777.9446,-769.7375,-794.9412,-809.4097,-811.0181,-798.7821,-789.9696,-790.3164,-781.6457,-767.209,-753.4386,-730.4001,-678.1827,-632.2819,-647.5857,-706.0811
10,PLR117,anticipated_b,0,pre,1st,1002,4812,4,0,1650.1669,72.3679,30.4328,1.3841,-16.8358,-18.4169,-9.239,-8.7626,-44.8354,-88.2809,-144.8312,-181.4838,-154.9932,-75.31,6.323,82.0313,149.6555,201.9557,232.8706,209.4963,142.7106,119.8714,148.1767,193.0046,236.0115,271.2139,292.6513,304.0945,334.6869,331.4334,308.791,311.2259,330.7702,351.4083,376.3008,400.7825,436.2392,482.8424,534.5053,588.3786,646.1421,690.4602,715.5873,734.751,713.0996,692.6278,693.4475,697.1685,704.4297,716.3825,734.2458,759.7318,805.8912,863.3616,915.2117,942.3165,949.3066,932.0822,902.4024,823.5865,450.1046,45.4411,-166.8033,-265.9526,-307.2756,-317.6835,-301.1703,-270.5079,-241.6034,-220.2605,-198.9116,-161.428,-101.9799,-26.5572,29.4853,36.6724,28.9676,37.5618,38.0388,43.1762,73.3354
11,PLR117,unexpected_b,0,pre,1st,1002,4808,3,0,1819.7943,-81.5987,-43.6144,1.9965,31.8992,34.2142,29.1249,12.727,13.4864,59.4366,144.5431,217.0405,235.8802,247.2375,261.0443,273.0824,282.729,314.4455,340.3186,318.7227,304.9175,313.6385,329.9379,351.5981,372.6601,408.6691,453.7088,496.1015,498.1653,459.2253,429.0495,403.0148,370.7788,348.7193,332.9983,338.528,374.6355,430.6989,460.4523,438.5794,359.2182,301.5828,293.2344,334.2185,401.0695,441.6855,488.4725,561.8197,650.1064,741.0628,822.4657,894.3224,973.3102,1043.2057,1084.9408,1103.8856,1086.2965,1044.7695,997.9933,902.8256,482.7434,29.7861,-215.8418,-342.3406,-409.5519,-435.5358,-428.5723,-410.6629,-387.382,-351.2496,-317.3162,-293.7501,-278.9713,-264.6302,-255.0683,-272.5485,-294.07,-301.2314,-290.05,-266.9631,-247.3182
12,PLR117,anticipated_w,1,pre,1st,1002,4810,5,1,1862.2925,33.2305,-48.8843,-112.2249,-121.3391,-80.528,3.2656,97.6191,160.8979,199.4881,225.3752,253.1851,313.1833,390.4441,455.0169,487.7719,510.6325,445.3708,282.8237,171.5723,138.483,148.3053,180.2331,192.6867,201.5305,227.2186,270.1228,323.8121,378.4605,414.6276,424.8683,421.7573,421.3289,455.0846,517.8716,583.6501,625.4247,646.4388,640.0086,595.1676,564.1615,564.2028,563.7196,466.6225,60.9074,-328.6182,-556.5769,-667.866,-722.8981,-751.0629,-763.9643,-761.1369,-756.557,-747.829,-745.0838,-739.1705,-731.365,-710.7512,-683.6636,-669.5421,-664.7856,-628.4043,-540.5969,-432.2895,-335.357,-252.4553,-189.938,-149.3388,-105.5678,-37.2551,37.9495,104.3355,163.0299,205.0345,229.1736,261.9856,294.9016,320.7122,332.2094,339.4545,325.4584
13,PLR117,anticipated_b,0,pre,1st,1002,4810,5,1,2058.5422,9.1427,80.2037,110.0743,80.7439,29.9123,-26.4285,-87.2569,-140.9146,-174.805,-162.466,-124.407,-96.5384,-79.1661,-68.9266,-64.3862,-52.8598,-12.748,2.5294,-0.083032,13.9205,45.8881,80.1154,101.3757,110.8868,122.2801,153.1458,201.1597,266.4332,329.9642,369.5927,363.1555,327.2266,267.2388,194.2508,147.5211,122.3412,131.9408,164.781,201.7605,220.3412,234.4161,251.2295,274.6585,301.4536,322.4204,354.2862,407.5836,464.579,518.1542,571.1567,625.9199,684.1279,758.7911,853.2637,940.9812,1020.8006,1089.4182,1155.8547,1148.2605,773.2533,283.1725,-51.6413,-255.1043,-385.2432,-467.8815,-512.8787,-530.1804,-517.3756,-461.2799,-400.385,-351.7253,-315.7796,-295.2896,-294.894,-297.9487,-302.4693,-289.4283,-234.2232,-167.8186,-116.229
14,PLR117,unexpected_w,1,pre,1st,1003,4810,4,0,2032.0238,-87.6424,-48.0184,-16.0676,7.8704,29.2764,49.8192,46.4524,26.6751,19.293,33.9648,52.4239,60.9841,73.1305,86.0339,93.7446,72.9266,-22.3052,-183.8526,-270.8167,-271.2916,-245.3273,-209.0708,-163.2933,-107.384,-39.5739,16.6726,55.2747,76.3228,89.9439,107.6759,119.3219,140.132,166.7139,198.813,209.2773,195.1886,176.327,161.5672,122.7768,75.6026,28.6382,-6.8951,-147.9995,-531.6277,-832.5982,-992.5885,-1065.9281,-1090.3311,-1090.6432,-1074.8759,-1041.7912,-996.1025,-960.0284,-942.574,-929.008,-909.3465,-895.9566,-898.9721,-918.7657,-925.7318,-885.7491,-790.0333,-659.8273,-523.9271,-398.1267,-295.2008,-220.0841,-166.8726,-158.642,-200.3441,-248.0926,-244.9134,-200.4851,-161.1262,-113.1513,-87.3424,-101.2142,-135.424,-159.2415,-176.3761
15,PLR117,anticipated_w,1,pre,2nd,1002,4808,6,0,1794.8642,31.899,26.856,9.6163,-9.5172,-17.4003,-11.3523,-12.5682,-16.4289,-3.6435,39.0921,107.6996,189.2753,226.3368,260.0508,306.0276,347.5961,370.0417,382.6536,333.7978,233.4382,183.0278,226.3757,306.5733,400.4703,482.0295,520.5694,516.3212,464.0284,389.1473,298.1891,234.8221,209.407,213.4203,250.1879,289.2162,305.4145,293.28,273.9318,241.8582,244.1346,280.5249,333.2604,277.5971,-107.9258,-477.2273,-677.6738,-772.4943,-809.2444,-819.1711,-811.007,-786.541,-753.9529,-736.6771,-742.8242,-766.7073,-786.6384,-802.5674,-810.4539,-805.8527,-780.2211,-716.5338,-622.0058,-512.7158,-420.2886,-364.2702,-367.2311,-370.8004,-331.1603,-269.4815,-183.3929,-118.9393,-96.3738,-63.4977,-15.3953,35.1612,48.6738,31.4679,1.7843,-2.9696,19.3957
16,PLR117,anticipated_b,0,pre,2nd,1003,4810,6,0,1979.9943,19.8837,37.5634,25.842,-20.7948,-66.1895,-62.4308,-17.9458,51.4372,121.3696,164.0986,191.9793,206.2856,206.8854,201.4963,181.4338,153.7571,135.9874,129.3447,112.4908,69.194,22.8046,-11.634,-40.6975,-50.1613,-25.4488,32.5896,80.8833,103.7291,104.4997,85.9561,59.8229,29.4759,6.4959,14.3897,28.4878,45.7416,36.9092,6.8083,-12.0228,-5.4937,33.7043,80.9736,120.2463,109.2169,78.3097,88.8052,133.8689,177.3926,216.7126,247.6915,264.3606,284.0081,331.6252,405.0915,489.4912,570.1756,634.0036,672.0853,638.794,261.139,-205.1461,-484.6153,-625.3557,-702.1667,-738.115,-736.0801,-703.2201,-652.7369,-602.0028,-553.9077,-521.9849,-518.1671,-544.7188,-571.0684,-572.4441,-536.3262,-471.8302,-393.4587,-338.5355,-307.0609
