trialNumber,subid,condition,bgcol,pre_post,pre_post2,cueTime,bgcTime,trialprog,feedback,baseline,window0,window95,window190,window285,window380,window475,window570,window665,window760,window855,window950,window1045,window1140,window1235,window1330,window1425,window1520,window1615,window1710,window1805,window1900,window1995,window2090,window2185,window2280,window2375,window2470,window2565,window2660,window2755,window2850,window2945,window3040,window3135,window3230,window3325,window3420,window3515,window3610,window3705,window3800,window3895,window3990,window4085,window4180,window4275,window4370,window4465,window4560,window4655,window4750,window4845,window4940,window5035,window5130,window5225,window5320,window5415,window5510,window5605,window5700,window5795,window5890,window5985,window6080,window6175,window6270,window6365,window6460,window6555,window6650,window6745,window6840,window6935,window7030,window7125,window7220,window7315,window7410,window7505
1,PLR110,anticipated_w,1,pre,1st,1000,4838,1,1,3789.8014,-45.6926,-22.8168,-23.2899,-23.2541,-19.9489,7.2102,49.1255,102.3727,151.1199,204.2107,261.9928,325.2661,385.7016,432.4185,461.0778,481.8196,493.6837,503.8137,526.1352,562.0045,604.5817,648.658,665.4448,663.6305,643.4116,633.3552,647.0536,676.4539,702.875,713.2198,718.3487,722.4818,715.1063,710.366,682.4562,640.8296,622.367,630.501,652.3967,668.6767,669.6093,684.8192,541.006,-98.3145,-799.6964,-1282.2741,-1576.9285,-1749.497,-1843.9434,-1869.6269,-1836.0935,-1749.8701,-1638.2729,-1512.4974,-1374.2678,-1265.0646,-1272.1479,-1369.5157,-1484.1547,-1553.8801,-1524.0063,-1389.165,-1199.6607,-1012.6594,-845.349,-712.5178,-593.5969,-484.3299,-381.4094,-306.4636,-255.6092,-200.3924,-140.0157,-82.7131,-30.8983,-13.9408,-7.8288,0.41211,7.8667,13.1047
2,PLR110,anticipated_w,1,pre,1st,1003,4810,2,1,3859.1082,-79.181,-69.5918,-43.766,-14.9471,23.7974,47.0842,53.6001,67.085,100.0508,152.943,221.3224,293.1721,353.3386,401.0071,424.6775,398.5182,332.8178,285.5302,279.041,296.1875,326.0601,359.4561,385.4474,406.6602,419.7259,383.2703,289.4934,230.5756,241.9045,289.5935,340.0895,387.6198,414.0775,420.9384,404.9632,390.1142,390.3365,369.6152,277.8964,181.858,145.4564,145.6377,15.4287,-574.688,-1200.5007,-1605.9225,-1839.2911,-1963.603,-2022.0755,-2033.052,-2032.7422,-2023.0008,-1996.1763,-1926.2453,-1818.6499,-1741.8184,-1734.2056,-1755.1841,-1774.7753,-1738.6539,-1626.1278,-1449.5631,-1260.2503,-1096.7288,-960.0717,-851.8125,-756.7566,-664.6426,-580.8111,-499.5131,-423.9688,-347.8275,-271.8948,-191.4589,-125.0687,-79.1732,-36.7898,2.6398,19.2893,-4.4269
3,PLR110,anticipated_w,1,pre,1st,1002,4808,3,1,4137.6316,-44.8884,-25.3904,-13.4806,-18.1301,-19.0385,3.9715,38.2974,59.161,82.4666,88.3438,97.1006,100.5804,84.0836,79.8869,94.5806,77.7862,20.0283,-22.5774,3.1809,64.7008,107.2285,122.5254,121.6418,103.1139,88.9607,89.9478,79.9369,19.904,-66.9441,-189.577,-309.902,-389.3346,-408.3816,-383.273,-335.1112,-282.2821,-262.8591,-289.1347,-313.4624,-320.6857,-307.5066,-275.5241,-373.9768,-989.9573,-1637.504,-2049.0168,-2268.8918,-2365.7811,-2402.5678,-2389.6612,-2381.0946,-2406.2871,-2444.6711,-2500.3076,-2551.9147,-2589.3846,-2603.8161,-2596.1584,-2569.4211,-2514.3367,-2407.6248,-2247.5966,-2054.5096,-1863.2746,-1698.5937,-1552.7345,-1422.169,-1308.9985,-1220.6571,-1162.345,-1116.4917,-1067.9544,-1018.629,-994.2817,-1014.4755,-1071.8232,-1129.3565,-1174.7578,-1181.5614,-1164.2751
4,PLR110,anticipated_b,0,pre,1st,1002,4812,1,0,3623.7171,-129.9454,-98.3947,-77.9662,-57.7812,-19.2898,39.6511,112.8688,186.8348,249.0333,292.9422,324.6367,357.3279,392.632,421.6648,445.9891,426.0801,357.0469,333.6957,354.5465,408.976,484.5142,544.7219,567.8395,553.4803,531.7047,522.0093,518.8684,518.6465,491.5155,422.2204,326.4381,262.2879,234.0223,249.1996,288.0631,329.9276,353.7566,340.5974,283.8594,220.9893,200.7914,235.552,315.3123,383.8414,440.3084,508.3679,592.0699,681.6169,764.6069,834.1013,899.4968,980.7869,1064.7366,1142.5003,1216.8637,1279.0264,1338.1248,1383.0942,1303.4207,724.1426,-3.1988,-521.0865,-805.4148,-940.4272,-1004.2889,-1048.5297,-1069.2566,-1057.3472,-1029.7434,-1006.1607,-1028.3064,-1085.8866,-1141.0049,-1152.2435,-1116.1852,-1056.4047,-1000.286,-972.6629,-953.3867,-932.9241
5,PLR110,anticipated_w,1,pre,1st,1002,4810,4,1,3141.1724,9.3633,-106.3082,-173.9943,-168.7793,-89.9416,34.2287,154.6771,247.2724,286.6069,297.9713,313.4781,349.2282,399.3531,460.0658,520.4237,561.768,590.76,605.8763,576.3518,541.8159,550.8833,586.8576,619.8607,619.8138,605.1694,610.5714,660.7043,717.0791,774.2536,817.494,859.8182,886.5981,911.6379,935.4219,952.9845,976.8247,1020.2017,1067.9205,1106.9777,1140.5602,1163.5942,1164.5081,988.8816,334.132,-337.456,-770.3299,-1029.9233,-1193.294,-1275.507,-1313.9713,-1323.811,-1292.9675,-1214.7192,-1110.1424,-1006.0236,-956.0721,-966.3591,-994.8263,-988.6631,-966.0829,-887.5908,-746.1437,-579.3956,-441.1416,-320.1142,-203.1612,-94.6308,10.9588,101.0827,176.8667,222.1851,239.1258,253.4713,270.6618,279.703,278.1312,289.8675,319.3157,350.5806,380.2162
6,PLR110,anticipated_b,0,pre,1st,1003,4812,2,0,3186.2588,53.4695,72.5234,84.5294,76.1961,9.6247,-94.9906,-126.5628,-75.7011,18.8679,111.4622,199.7285,284.2452,358.6506,415.8357,475.5839,522.4742,570.41,626.5525,669.3024,686.1381,700.5358,714.4813,727.2191,730.4888,729.2297,734.4722,736.8794,700.191,647.7076,618.8891,620.7671,646.5417,672.7484,696.6308,735.2404,781.4517,815.5205,821.9569,782.6413,752.0927,770.2323,824.256,894.5282,968.2947,1011.3739,1053.3522,1108.6494,1177.146,1259.0554,1336.3343,1405.4814,1474.0169,1537.1158,1595.6088,1632.8033,1648.3618,1664.8377,1678.5929,1594.7063,995.9982,204.6434,-350.4354,-653.374,-796.8706,-846.8306,-836.2405,-771.7027,-700.2351,-662.0432,-618.3396,-532.5709,-418.6853,-299.0585,-205.7669,-191.6508,-227.5874,-255.2886,-254.0022,-198.6283,-106.5803
7,PLR110,unexpected_b,0,pre,1st,1002,4810,1,0,3722.3166,-56.166,-16.2911,-5.8748,0.14034,20.8675,45.3215,36.6337,-4.3216,-38.5317,-42.5011,-17.1656,30.2241,80.8578,128.1183,176.1056,232.9354,288.578,325.4169,339.0644,330.5756,312.9598,291.7617,279.112,263.9746,241.7149,244.5885,270.3663,285.4394,313.459,359.8588,395.0937,363.4744,243.0759,118.2632,50.0138,20.7717,40.7515,94.2403,162.7408,233.9542,279.2489,319.349,369.6401,412.0475,457.8101,504.0279,558.1044,621.6101,687.9734,769.2232,861.0372,953.7946,1045.6201,1129.5847,1202.4479,1259.3607,1292.3892,1311.4944,1267.7,778.3373,86.5738,-410.9009,-696.5504,-849.3961,-925.6852,-967.1408,-992.5598,-975.94,-905.7485,-835.4827,-780.7774,-712.6027,-621.2256,-536.8855,-556.0602,-643.6368,-707.499,-731.8909,-719.8093,-676.8617
8,PLR110,anticipated_w,1,pre,1st,1002,4810,5,1,3482.357,145.9223,20.5918,-72.4688,-101.7244,-60.7482,4.7971,35.4538,6.5663,-30.397,-18.811,44.5992,118.9304,163.2229,192.3989,229.6855,252.1615,265.5511,303.1636,342.1128,368.062,406.6332,432.5639,430.8564,435.8816,447.2004,425.7613,383.4427,368.7188,380.9338,403.2981,420.5086,416.1673,417.0771,422.6817,454.5214,503.6313,556.0414,579.5655,573.5465,543.4177,513.2973,484.1998,291.4763,-314.619,-900.9663,-1277.2158,-1507.107,-1630.4116,-1680.5862,-1673.2067,-1647.2384,-1592.5632,-1512.0386,-1427.3966,-1364.5556,-1337.7194,-1365.8179,-1425.5057,-1446.3591,-1421.8093,-1322.6381,-1154.1908,-963.2499,-798.2258,-662.4386,-548.6773,-446.5581,-364.6661,-324.7027,-298.6611,-266.0343,-210.988,-125.8855,-38.3149,20.4997,61.3135,78.1923,86.5089,93.1166,91.4418
9,PLR110,anticipated_w,1,pre,2nd,1002,4812,6,0,3694.1497,34.5089,11.6887,-25.9065,-47.956,-49.8924,-25.4437,12.5897,57.4238,104.369,144.6833,190.1577,218.2114,219.2891,214.877,217.3601,219.8245,227.1866,232.4751,219.2785,154.1306,78.3316,18.9824,-64.7334,-132.153,-165.9983,-168.5249,-156.1624,-174.8511,-215.4443,-220.7782,-191.6246,-141.7894,-112.6675,-100.5878,-119.1879,-179.6786,-236.4822,-268.9052,-262.4477,-243.5066,-225.264,-224.4533,-377.1352,-957.7703,-1512.1731,-1849.233,-2008.5842,-2067.9502,-2082.2037,-2078.315,-2082.9817,-2096.7782,-2099.77,-2073.5237,-2000.3487,-1907.844,-1866.8491,-1901.9856,-1950.5646,-1956.0651,-1881.1454,-1742.5079,-1561.418,-1389.692,-1246.7504,-1139.7657,-1041.8559,-952.4691,-866.3899,-782.8486,-707.4694,-642.2859,-605.2811,-595.2746,-582.9924,-572.6332,-578.7823,-586.8331,-580.2041,-565.0751
10,PLR110,unexpected_w,1,pre,1st,1003,4808,2,0,3426.3048,157.4717,159.0638,147.6059,24.7739,-118.9307,-167.1786,-134.389,-72.6314,-27.6318,24.3261,114.3155,217.8909,311.5094,388.9196,420.5264,411.4357,376.5519,341.0288,324.9532,327.3207,336.9634,309.0754,291.5319,308.3894,306.4996,258.6843,193.5719,127.0454,91.5119,93.1554,119.3095,174.9821,228.0327,255.6885,278.2815,295.4736,319.3958,337.3915,358.7849,374.7901,348.1849,222.3736,-43.4447,-606.7992,-1152.6373,-1510.6714,-1701.4273,-1780.3607,-1805.7177,-1802.9054,-1792.3724,-1773.5851,-1738.9813,-1705.3948,-1678.2385,-1644.4481,-1592.0213,-1506.3661,-1384.4298,-1269.2099,-1169.2959,-1062.7996,-942.5463,-858.6255,-840.983,-818.8925,-763.3673,-692.8492,-629.3019,-586.4902,-570.5183,-570.1391,-564.1416,-527.1732,-463.4473,-415.3265,-397.4001,-385.1137,-355.9762,-333.3423
11,PLR110,unexpected_b,0,pre,1st,1003,4812,3,0,2877.1892,-20.5025,-65.0209,-87.1428,-93.5936,-75.6552,-13.2816,87.5647,194.3031,264.242,294.6222,324.2105,370.9903,379.844,351.693,334.2738,348.0511,377.3516,392.264,390.5034,384.4572,339.0591,262.1257,234.5102,260.6338,302.8699,343.2436,375.8614,385.6038,401.1684,419.9125,454.4299,509.5818,580.2509,647.86,707.2611,768.184,824.8891,893.4597,943.855,972.0757,1002.8572,1035.6147,1072.1012,1097.2819,1128.4932,1176.5784,1236.6072,1305.6905,1371.5277,1439.8337,1520.6973,1616.2798,1706.5557,1772.1011,1823.5196,1847.9095,1858.9248,1860.2394,1781.1501,1219.0436,451.057,-75.1708,-361.9902,-509.9359,-581.1211,-591.3587,-550.0748,-474.5269,-399.5756,-337.3578,-275.812,-185.1454,-91.1109,-21.4266,-10.8575,-21.8293,-8.3597,36.7788,85.2641,134.6022
12,PLR110,anticipated_b,0,pre,1st,1003,4810,3,0,3152.3588,15.9159,71.6362,99.7075,80.6637,35.3474,-23.395,-87.5926,-137.0939,-188.5854,-217.6428,-204.8001,-154.5475,-90.0676,-9.3942,49.8568,79.3451,114.8368,167.4109,219.2471,229.9494,182.5239,126.1964,126.1336,160.9023,183.9703,197.7928,196.4448,215.1143,264.1914,322.0873,394.239,440.8028,477.5753,535.8882,600.1931,657.383,706.3347,748.0794,772.2977,769.8353,758.2335,727.2518,717.2424,735.0427,783.537,850.9244,940.7841,1019.2847,1089.0051,1160.0806,1170.7156,1263.575,1392.8984,1470.4234,1528.9125,1564.9986,1578.6701,1577.6333,1471.3057,836.6953,43.0166,-514.5479,-847.0548,-1039.1426,-1148.7278,-1174.6841,-1147.0561,-1104.6891,-1068.0603,-1046.5325,-1024.1832,-1006.4046,-1000.7903,-1005.3092,-1018.7338,-1029.3979,-1039.2525,-1045.8561,-1035.9893,-1018.2247
13,PLR110,anticipated_w,1,pre,2nd,1002,4810,7,1,2511.1195,-192.5315,-153.5606,-117.4108,-60.2258,28.6581,126.878,173.0858,174.0191,163.5964,180.6451,209.7214,206.7239,176.7516,124.6418,68.7712,17.1295,-4.9967,7.6835,48.977,110.658,192.0714,252.249,268.4906,248.0029,210.3596,199.8217,226.6364,262.6172,275.7763,255.5881,207.0514,191.3773,243.4991,335.1024,459.795,585.4615,635.6589,514.0504,318.011,147.4111,60.0548,94.3161,131.0905,-163.4723,-563.9474,-815.8143,-964.4809,-1047.0362,-1070.3976,-1051.2853,-984.6944,-876.0471,-799.2284,-788.4198,-808.7076,-840.0008,-869.3019,-865.9704,-809.4933,-701.4548,-549.5031,-377.2595,-216.0307,-98.0571,10.6951,117.8084,224.4782,322.8705,414.0148,492.8542,538.3299,577.0083,620.6419,658.3278,649.7533,627.8605,586.8643,514.5518,453.5692,406.89
14,PLR110,anticipated_b,0,pre,1st,1003,4812,4,1,2670.8172,-6.4601,4.2528,-5.08,-33.8126,-43.7292,-22.5333,15.6669,65.226,116.9403,173.8432,238.7414,283.9737,280.4778,227.8179,163.8333,146.7617,151.3465,172.6996,224.1381,303.7459,395.4617,452.8254,444.7449,441.7738,476.082,531.4464,574.6288,599.6159,617.8269,623.0399,621.9319,618.4564,593.4902,543.5189,503.2852,501.339,510.3643,529.4468,580.5854,653.6293,718.2449,781.2586,843.7695,907.5414,976.0042,1053.3594,1155.6909,1256.7775,1355.3805,1447.6118,1542.7151,1638.1007,1728.0463,1804.0966,1864.1267,1904.1007,1925.7202,1943.7221,1869.0442,1283.1824,511.6037,-18.4649,-294.6352,-414.9101,-435.3789,-360.5673,-219.1727,-69.9921,49.4141,141.2877,170.0114,157.2648,161.9281,192.092,200.9944,191.022,209.0476,244.6376,290.5586,343.1415
15,PLR110,unexpected_b,0,pre,1st,1003,4810,4,0,3895.2444,-130.1827,-104.9116,-58.2389,10.0584,64.9631,88.0159,76.8508,59.5374,29.9852,8.3269,-42.897,-101.1022,-150.3072,-195.5689,-245.0378,-342.2698,-494.5832,-641.022,-762.9115,-840.0665,-878.9782,-905.7663,-918.3545,-920.1115,-881.5339,-817.5488,-764.1334,-738.8908,-728.5225,-713.087,-692.0322,-658.0324,-605.9489,-539.6055,-469.3303,-411.533,-363.3052,-329.5301,-299.8281,-283.1957,-269.5165,-268.9899,-295.9969,-327.8825,-332.156,-271.4218,-172.187,-64.3464,33.9282,120.6361,213.4342,310.1529,410.4444,499.357,568.583,609.1396,635.631,656.7514,575.0588,-10.4689,-760.3392,-1276.8879,-1571.0739,-1738.2956,-1838.4855,-1911.1211,-1955.6415,-1983.4676,-1975.1887,-1928.4301,-1860.9366,-1787.3677,-1744.2916,-1724.0403,-1702.0322,-1669.0261,-1619.6938,-1544.8616,-1463.0735,-1379.4905
16,PLR110,anticipated_w,1,pre,2nd,1002,4810,8,1,2581.1645,-157.5616,-142.2787,-128.6769,-81.3561,-2.682,88.5193,174.0816,209.4485,195.9919,188.2615,193.2968,188.4544,160.8066,136.1441,126.4094,133.0395,135.3954,142.7355,172.6586,181.5793,172.8691,178.0895,189.6288,198.5177,200.267,188.6739,176.9549,166.7372,141.7615,87.5189,48.5918,19.6989,9.3708,27.3586,74.3648,163.3194,217.5408,180.8825,133.9868,126.5972,152.7997,213.2482,182.7585,-248.7947,-713.2398,-983.7626,-1132.3253,-1196.8455,-1211.2224,-1184.7993,-1127.1088,-1077.6489,-1050.9137,-1038.9346,-1025.6071,-988.4836,-913.0799,-819.5969,-742.0557,-698.2645,-645.6743,-564.0071,-469.3367,-373.0767,-281.7147,-208.4453,-130.2389,-62.8867,-28.7368,-17.4869,-19.1152,-11.7056,-12.6569,-21.6398,-42.9205,-58.8259,-39.8099,19.1491,85.6191,130.1099
17,PLR110,unexpected_w,1,pre,1st,1003,4810,5,0,2158.3843,-116.2294,-111.309,-111.4536,-99.072,-35.5285,51.3758,131.9069,214.4653,314.4588,407.362,463.6242,505.6186,535.6297,579.342,616.0906,631.6752,647.7947,666.2779,670.9724,675.5736,694.426,709.1267,738.5187,766.3724,800.3066,839.4328,867.5124,876.6902,856.2101,846.2487,819.3147,720.8889,634.1093,581.9022,554.0872,559.5757,584.1599,612.0859,633.7611,643.3583,654.4158,661.0722,543.1531,46.1292,-416.591,-683.4431,-824.6883,-898.6963,-930.9473,-939.7229,-927.6577,-903.5134,-872.199,-827.6825,-776.3796,-711.645,-640.3745,-596.194,-573.19,-531.7267,-461.8274,-352.947,-216.5149,-80.4347,42.3971,133.9622,166.3444,177.1734,209.1187,245.5515,282.1165,322.6248,356.7879,379.5757,403.6059,416.1696,397.8767,340.9251,283.1216,219.841
18,PLR110,anticipated_w,1,pre,2nd,1002,4810,9,1,1806.0811,61.6259,-15.3127,-78.7882,-103.805,-79.1402,-10.2219,59.4699,108.6819,166.3105,241.8402,322.185,380.7902,383.694,365.5828,388.5328,455.4753,535.1429,606.5765,646.3806,664.816,684.1736,702.3591,720.4223,746.8285,773.2696,798.325,804.8372,802.487,833.623,878.6786,935.9338,997.5232,1031.5213,983.7181,865.6408,767.3849,687.3772,604.4636,527.7501,489.1609,497.9482,535.4853,466.3606,59.3062,-311.9094,-523.9712,-620.1275,-658.5039,-662.5858,-647.3835,-614.7605,-580.129,-554.2036,-534.4331,-512.6653,-480.3927,-421.3082,-357.6122,-309.0225,-253.5959,-159.9506,-32.805,97.8798,217.9714,322.3241,417.549,501.248,578.6906,634.3585,679.2229,722.5107,772.8064,821.3092,861.5107,862.7429,832.1071,823.3487,818.8077,785.7601,726.2775
19,PLR110,unexpected_w,1,pre,2nd,1002,4808,6,0,1852.1672,57.6458,50.2279,61.6571,26.1618,-51.2782,-85.1089,-62.396,-11.9836,39.1984,102.6599,173.2333,251.1126,330.2533,379.8053,417.8323,454.4175,497.1393,534.8044,571.7711,576.9873,579.4624,605.5425,652.9182,700.6349,732.7771,735.7107,738.5687,751.2176,772.4267,807.6757,861.5675,905.0252,933.8561,961.5495,1000.9237,1038.884,1070.6448,1094.8636,1118.4033,1152.1555,1145.2558,1085.8848,893.2103,354.1097,-129.7952,-405.8624,-536.532,-585.1656,-574.4691,-526.7433,-463.8628,-391.7849,-321.1205,-275.2535,-257.0376,-249.7245,-244.9308,-209.2705,-133.8492,-46.8949,52.5118,171.3038,291.0628,405.1776,498.6499,576.7607,646.2996,716.9685,773.4339,814.6433,837.979,871.7486,921.1146,975.7728,1023.2673,1063.3829,1103.57,1135.0647,1179.1308,1221.7415
20,PLR110,unexpected_w,1,pre,2nd,1003,4810,7,0,2645.1667,58.7226,41.6509,20.1684,-37.4715,-80.4435,-76.3853,-25.6037,51.4506,147.6114,238.7842,330.9668,405.2377,458.392,476.9154,460.3133,424.7034,391.233,360.9175,322.3304,310.5593,348.659,376.1345,270.0787,146.7754,136.9949,209.9154,318.6599,424.4322,487.98,371.2557,169.4392,96.9866,128.7891,217.5847,311.1603,385.6634,414.8095,390.2769,347.1854,324.5018,327.1824,355.76,256.2708,-275.5561,-805.4766,-1121.7044,-1289.747,-1372.9926,-1399.1254,-1377.6756,-1328.5034,-1283.1629,-1254.7334,-1240.1142,-1227.9001,-1193.3462,-1128.5166,-1059.2454,-991.6815,-922.4186,-823.9605,-697.4774,-573.2708,-460.3945,-369.253,-293.0201,-231.9617,-171.6627,-146.1913,-166.1779,-166.3482,-136.3066,-79.8333,-22.7535,24.5812,43.2215,40.2258,25.9375,13.1437,-11.4199
21,PLR110,anticipated_b,0,pre,1st,1003,4810,5,0,2635.3116,43.2416,17.8592,-35.2491,-63.1383,-55.9408,-18.035,18.7288,59.6185,108.4295,158.2665,216.498,277.269,329.7178,368.6534,408.8764,433.7413,461.6442,515.3161,589.7747,649.1803,679.9567,681.4156,673.1166,670.4202,675.1374,684.4698,688.0086,665.3423,609.3041,548.0574,503.5184,462.9666,447.2501,444.9229,448.0303,409.0495,348.4172,306.4106,310.8368,334.4893,358.5826,386.4952,417.2497,425.7755,428.9669,476.439,574.336,697.7767,814.2752,923.4056,1034.4423,1142.6414,1243.3861,1332.2828,1397.3738,1434.3377,1446.7684,1454.8221,1384.6247,846.8688,146.2692,-314.01,-574.528,-712.8351,-772.5353,-769.4851,-708.9295,-640.4,-584.9852,-546.3918,-459.7969,-379.9326,-362.5344,-375.9934,-365.2746,-328.9759,-278.4859,-205.2795,-157.3511,-136.6398
22,PLR110,anticipated_w,1,pre,2nd,1003,4812,10,1,2816.7822,-13.4748,-21.3008,0.49966,-1.1113,-17.1449,-19.6248,-3.3694,46.6026,117.9261,188.6234,237.9882,254.1307,241.1838,233.8762,219.614,177.563,155.1816,158.2836,166.5128,151.6859,154.9622,179.6243,194.3734,200.8812,176.9006,155.9729,138.6043,128.1224,135.1238,154.8109,164.9588,172.7251,196.4635,224.4273,263.515,295.98,244.7892,185.3111,125.1353,69.5739,61.6353,99.7713,26.3479,-438.1375,-910.8031,-1180.7002,-1321.7537,-1380.7393,-1385.3681,-1361.1362,-1346.4225,-1330.5257,-1285.7733,-1225.9168,-1160.4255,-1098.225,-1043.2282,-992.2958,-954.752,-926.4465,-866.2142,-743.9359,-598.5743,-465.2866,-360.076,-266.4115,-193.502,-119.033,-44.9821,9.8263,36.4125,43.7584,19.3236,-25.9422,-58.8524,-78.9367,-91.252,-97.5333,-99.1155,-110.2453
23,PLR110,anticipated_w,1,post,3rd,1002,4812,11,0,2642.6486,-49.7391,-60.7198,-67.7472,-42.3845,9.3859,59.6384,65.5317,68.6938,106.5253,163.4747,220.7379,267.7375,308.104,360.8283,390.953,370.7554,286.3446,224.9578,213.9849,231.9653,265.652,282.2873,269.1941,241.7179,227.8068,227.022,241.6176,257.6326,274.5844,305.8591,347.7396,374.6959,357.4037,264.6321,176.5308,146.6834,154.8246,160.3547,148.635,121.4106,79.8752,36.9016,-121.6558,-593.0751,-1024.7727,-1272.8668,-1398.851,-1452.8593,-1471.7302,-1471.5869,-1462.7804,-1444.6694,-1419.9143,-1394.427,-1375.4526,-1359.8731,-1348.0066,-1341.1034,-1332.0385,-1284.6215,-1185.2247,-1048.9872,-913.9062,-802.4316,-714.6167,-629.7594,-547.1516,-471.7227,-395.7625,-326.5303,-272.8731,-201.9335,-154.2417,-135.9385,-129.5576,-141.3225,-180.7026,-215.5061,-243.8782,-271.7906
24,PLR110,anticipated_w,1,post,3rd,1002,4810,12,1,2372.8442,-126.5576,-75.7234,-48.7995,-32.7713,-14.8259,30.7343,83.183,146.0101,215.4071,256.7539,253.7094,194.6656,166.5984,203.7493,272.9165,352.1946,394.7494,397.8081,397.5976,411.4532,431.7324,447.9522,470.5147,462.0846,323.3544,103.479,-8.9011,-9.2482,70.8455,172.9218,258.5198,277.8839,184.7107,55.0563,-43.6056,-104.4947,-174.5198,-253.6584,-290.138,-275.6988,-254.655,-250.4302,-335.8548,-678.9237,-1000.3573,-1173.2669,-1259.129,-1290.6842,-1288.2825,-1274.7046,-1257.6086,-1246.0087,-1246.6307,-1252.6101,-1264.6307,-1268.8937,-1267.007,-1260.7026,-1244.4977,-1209.4106,-1140.1677,-1027.1315,-890.4156,-754.4468,-640.0801,-550.5014,-469.4488,-396.74,-330.3629,-259.1644,-211.9522,-201.1045,-193.4105,-191.7392,-179.3229,-145.1844,-101.563,-88.4475,-104.9239,-131.4793
25,PLR110,anticipated_w,1,post,3rd,1002,4810,13,0,2409.2024,7.1973,21.6323,20.8933,-6.8121,-42.8508,-35.541,-8.3321,32.5673,29.1671,-15.1495,-44.9686,-33.9471,9.5467,69.7022,118.034,107.327,39.3822,-51.1995,-113.037,-116.9479,-73.9447,-33.4406,-20.7092,-3.9271,13.9825,18.6552,-4.8197,-43.0166,-64.2789,-53.1258,-19.6174,17.6106,45.4141,79.0063,119.321,153.2803,138.1097,56.0208,-54.372,-148.449,-198.2551,-198.9954,-274.7377,-637.4844,-988.6782,-1189.748,-1281.878,-1320.2686,-1313.7641,-1280.2332,-1245.7998,-1214.8446,-1202.6335,-1211.7817,-1226.7581,-1238.9725,-1241.6811,-1227.5227,-1197.307,-1135.8217,-1034.5893,-904.0021,-767.4218,-653.3453,-574.6884,-519.0079,-469.0693,-427.783,-381.8746,-324.9817,-271.3848,-223.1483,-175.1229,-123.1828,-81.7449,-47.6835,-53.8895,-113.5048,-213.3878,-276.2236
26,PLR110,anticipated_b,0,pre,2nd,1002,4810,6,0,2527.276,-68.1012,-38.1873,-13.4176,-17.3031,-8.1629,24.8415,52.3248,58.7944,67.9647,84.0103,102.4237,112.2058,120.2953,136.3566,145.0094,68.5274,-50.1115,-156.55,-202.807,-198.0082,-194.0196,-200.7679,-203.8011,-210.8208,-213.2237,-184.3535,-155.5162,-132.9066,-126.4282,-139.5438,-134.205,-94.9328,-32.6064,26.3975,68.2797,78.9052,73.2614,66.3837,63.2801,84.0705,83.1522,72.2629,78.3473,94.5891,133.0743,225.8981,338.8286,451.7315,556.9817,654.637,769.4396,891.3512,1019.1194,1130.3233,1220.6177,1294.8544,1351.0735,1392.1088,1363.7193,868.2096,185.5569,-272.6442,-533.0609,-662.6258,-707.745,-697.9074,-644.7649,-553.735,-464.3096,-411.6067,-394.5757,-382.2006,-354.8283,-324.2189,-318.1297,-319.68,-295.8589,-239.2647,-171.824,-102.039
27,PLR110,unexpected_w,1,pre,2nd,1002,4810,8,0,2766.257,43.1537,57.1878,43.814,-14.3545,-59.0117,-55.6831,-28.3195,0.84586,37.3863,66.4846,69.115,48.9472,22.1038,-2.6229,-17.2185,-44.1391,-137.6384,-279.0958,-393.3803,-435.9334,-427.1528,-372.7177,-303.4126,-225.781,-148.7226,-96.1754,-71.7778,-63.5473,-65.6465,-54.3965,-16.3046,31.6001,56.4411,85.3519,131.865,189.0291,243.2034,264.4818,263.635,278.9346,309.1337,343.9517,236.9216,-323.0704,-863.8267,-1174.1208,-1330.8403,-1393.6985,-1396.1988,-1353.9301,-1271.6039,-1185.0017,-1133.558,-1133.6164,-1168.8578,-1205.2245,-1213.99,-1188.0583,-1123.7281,-1036.8322,-946.2566,-837.1275,-718.038,-600.7014,-495.1507,-411.5556,-351.2107,-298.0017,-267.7022,-261.3678,-255.8556,-245.6527,-229.5908,-228.938,-237.952,-261.5191,-311.5695,-371.2691,-416.9984,-422.5478
28,PLR110,anticipated_w,1,post,3rd,1002,4810,14,0,2691.0802,-123.0729,-102.0564,-70.1214,-20.4142,25.598,56.2239,89.1877,120.0615,131.7294,121.1077,103.0908,105.6495,123.0006,147.4888,164.1018,170.0448,177.7702,166.9607,104.8391,64.5687,68.9445,86.231,95.8148,59.2934,3.7583,-65.8994,-160.8999,-240.4929,-279.3599,-290.5241,-306.7477,-327.8307,-335.067,-322.5791,-283.6512,-248.0335,-225.3072,-220.7961,-256.7175,-340.9165,-394.0785,-410.954,-516.2694,-889.3263,-1235.6312,-1430.1818,-1518.1495,-1542.9215,-1535.1958,-1515.879,-1488.7404,-1452.2584,-1416.3642,-1400.3021,-1388.4296,-1371.5395,-1336.5325,-1285.1864,-1217.2426,-1120.8473,-1000.4054,-886.8844,-783.6227,-692.5558,-617.1537,-539.2293,-461.7893,-381.7982,-316.5177,-275.495,-246.0576,-224.0256,-198.1227,-186.2472,-228.462,-296.4646,-360.7166,-437.2509,-534.8893,-624.3834
