trialNumber,subid,condition,bgcol,pre_post,pre_post2,cueTime,bgcTime,trialprog,feedback,baseline,window0,window380,window760,window1140,window1520,window1900,window2280,window2660,window3040,window3420,window3800,window4180,window4560,window4940,window5320,window5700,window6080,window6460,window6840,window7220
26,PLR138,anticipated_w,1,pre,2nd,1286,5096,7,0,3522.9965,-47.6866,-402.3362,-416.8172,-346.8088,-350.6897,-276.2286,-337.2252,-358.1308,-532.9532,-432.4302,-663.7946,-1928.4358,-1945.6695,-1743.4667,-1502.4372,-1232.4219,-1124.4076,-807.7088,-670.5174,-755.8109
27,PLR138,anticipated_b,0,post,3rd,1003,4812,12,0,2766.9445,13.7915,-6.2375,-11.1935,98.7788,-134.7247,-250.1501,-251.3883,-3.7446,6.5029,-29.844,-46.2624,164.7089,781.9718,1292.8573,1296.6922,-310.1726,-738.7008,-894.194,-822.337,-644.5079
28,PLR138,unexpected_w,1,pre,2nd,1003,4810,9,0,2316.0679,-84.1896,74.5913,181.4303,98.1221,36.9696,-31.278,10.3679,114.8137,184.7688,193.1998,223.5051,-565.5533,-629.6474,-661.1618,-581.6436,-310.7256,62.4494,148.1372,261.4306,169.4526
29,PLR138,anticipated_w,1,pre,2nd,1002,4810,8,0,2333.4586,-97.3114,89.2478,135.3921,36.253,-32.6221,-5.0829,-124.2527,-179.2356,-202.9615,-66.3756,-151.2506,-944.0159,-939.6247,-643.4826,-382.1664,-440.9002,0.8191,217.7663,192.0231,294.8765
30,PLR138,unexpected_b,0,pre,2nd,1003,4812,10,1,2343.4214,17.7442,-24.7427,119.9856,68.2069,159.645,157.8227,-8.4659,8.612,51.3348,44.7294,-0.76276,342.8446,844.7221,1345.3548,1233.3725,142.1282,-78.1232,-17.8291,84.5331,81.3612
31,PLR138,anticipated_b,0,post,3rd,1003,4812,13,0,2123.567,60.5257,-59.2007,-41.3392,-22.6505,46.5646,138.0121,188.7059,249.0075,284.6811,337.0227,489.1599,693.4423,1235.174,1948.4734,2117.8182,623.336,273.3142,163.7338,144.9793,292.4703
32,PLR138,anticipated_w,1,pre,2nd,1002,4810,9,0,2427.1404,-8.0658,13.5552,-54.7533,51.282,88.1807,114.0819,81.2568,135.3697,183.4534,251.6979,65.9623,-932.5844,-1009.3185,-977.6549,-968.0983,-648.5189,-215.142,-92.4693,-23.7582,46.8857
33,PLR138,anticipated_w,1,pre,2nd,1885,5692,10,0,3123.6,-1.1498,-394.1022,-876.4866,-1045.4839,-953.4324,-805.0135,-683.5853,-657.3004,-638.9306,-641.1784,-627.1887,-1477.548,-1800.2957,-1805.1254,-1788.0333,-1779.2,-1779.2,-1779.2,-1779.2,-1779.2
34,PLR138,unexpected_w,1,post,3rd,1003,4812,11,0,2820.2072,42.7953,-34.1365,-222.8313,-288.6643,-360.3659,-280.1373,-337.4262,-270.2665,-223.0885,-181.3376,-384.8558,-1392.1097,-1452.3531,-1426.5346,-1313.9821,-998.5915,-617.4484,-346.4138,-332.1459,-468.5339
35,PLR138,unexpected_b,0,post,3rd,1003,4810,12,0,2502.8337,-85.507,89.4119,-9.773,-37.0707,-120.9746,-154.1692,0.66477,115.8187,319.7223,499.0988,681.7489,973.6502,1523.0417,1980.9757,2162.6747,714.9922,209.3709,118.068,86.8134,178.5763
36,PLR138,unexpected_b,0,post,3rd,1002,4808,13,0,2604.2527,-90.52,88.3748,129.0433,202.4257,220.6046,319.9059,405.2429,375.7102,429.2664,268.8796,192.1088,606.4915,1164.0792,1749.7212,1797.8308,192.2078,-292.3752,-303.0396,-63.1267,-90.9847
37,PLR138,anticipated_w,1,post,3rd,1002,4812,11,0,2775.5597,96.4636,-85.892,-311.12,-214.8575,-156.0905,-132.541,-298.0658,-347.2582,-274.5374,-191.4602,-444.3866,-1422.6539,-1482.8794,-1487.5541,-1433.318,-1129.1552,-768.876,-577.8194,-536.5796,-254.7041
38,PLR138,unexpected_w,1,post,3rd,1003,4812,14,0,2942.5609,65.1981,-58.0659,-57.714,-128.247,-292.4408,-308.6918,-275.9017,-280.6005,-372.8113,-367.588,-547.4842,-1600.373,-1707.9576,-1803.0916,-1845.6132,-1557.2311,-1224.0468,-1172.1229,-901.1661,-880.5248
39,PLR138,anticipated_w,1,post,3rd,1002,4810,12,0,2237.0404,-6.5843,8.6469,-18.6919,73.5537,46.8589,42.3413,54.6885,21.7746,-8.4822,28.7918,-215.758,-1036.8392,-1053.7581,-1016.9121,-891.9129,-597.0472,-252.4557,52.3556,270.9143,379.888
40,PLR138,anticipated_w,1,post,3rd,1002,4810,13,0,2935.0749,89.4845,-81.2167,-49.1574,-27.4612,-74.2691,-44.164,-66.7694,-123.8864,-336.4677,-570.9864,-713.994,-1587.4382,-1635.4166,-1540.84,-1360.1687,-1113.3672,-729.6047,-627.4452,-610.9992,-584.3703
41,PLR138,anticipated_b,0,post,3rd,1002,4808,14,1,2516.5084,36.1287,-33.2115,-69.2234,14.1281,33.6701,2.9815,-42.7913,-87.3491,-9.6709,70.398,91.6531,373.443,934.2754,1490.6314,1676.6422,327.8174,-40.5681,-90.226,-40.1149,-190.96
42,PLR138,anticipated_w,1,post,3rd,1002,4810,14,0,2039.7046,9.1312,-21.1438,238.832,483.0817,628.0338,629.0288,655.7538,567.4805,597.1342,707.5473,599.5845,-560.0555,-734.5314,-740.531,-779.8285,-463.6946,-1.9415,106.3423,235.442,370.7877
