trialNumber,subid,condition,bgcol,pre_post,pre_post2,cueTime,bgcTime,trialprog,feedback,baseline,window1,window2,window3,window4,window5,window6,window7,window8,window9,window10,window11,window12,window13,window14,window15,window16,window17,window18,window19,window20
17,PLR132,unexpected_w,1,pre,1st,1003,4812,5,0,3515.214,3574.7225,3647.1704,3662.3355,3641.8141,3216.6702,2226.6754,1777.8482,2171.9215,2480.3351,2805.199,2857.6963,1328.822,1120.2199,1237.5714,1018.1711,1256.4733,1888.8757,2361.0113,2541.2134,2831.4139
18,PLR132,anticipated_b,0,pre,2nd,1002,4810,6,0,3266.092,3448.6806,3496.7435,3573.5707,3651.5711,3789.1776,3841.3403,3943.3351,3910.0209,3906.2984,4110.3874,4058.8115,4004.1675,4360.6806,4710.1675,4654.9948,3201.6545,2878.7592,2940.466,3132.466,3513.5393
19,PLR132,unexpected_b,0,pre,2nd,1003,4812,6,0,4020.336,4158.2251,4123.6432,4113.9643,3805.8691,3352.7644,3008.0471,2979.1623,3008.089,3271.3508,3314.8586,2956.4293,2997.0576,3497.9895,3993.555,4150.9319,3154.356,3117.3017,2660.9467,2527.0756,3104.271
20,PLR132,anticipated_w,1,pre,2nd,1002,4810,8,0,3256.291,3004.7435,3287.6492,3593.9424,3856.0419,3947.4555,3977.4974,4009.5864,4114.7539,4042.2932,4077.6335,3952.2565,1872.8953,1537.6374,1959.7613,2049.5447,2402.199,2983.1977,3448.5707,3675.3055,3717.4545
21,PLR132,unexpected_w,1,pre,2nd,1002,4810,7,0,3788.69,3762.7592,3943.2356,4124.3822,4227.3979,3983.1152,3838.555,4116.534,4038.822,4175.2199,4358.5654,4071.8377,1855.2042,1355.0628,1346.9895,1306.4084,1931.5529,2604.2032,2804.4827,3067.0785,3190.644
22,PLR132,anticipated_w,1,pre,2nd,1003,4810,9,0,3570.05,3653.733,3675.0052,3845.6126,4024.2827,4097.0785,4120.9319,4228.3194,4288.3298,4357.0995,4473.7173,4180.3927,2000.0366,1577.9267,1704.911,1862.8901,2501.0419,2927.4136,3230.6806,3400.0314,3646.5654
23,PLR132,anticipated_b,0,pre,2nd,1003,4810,7,0,3901.1874,3916.2094,4060.3979,4219.4136,4382.0942,4453.7592,4391.7906,4367.8482,4404.4398,4445.2251,4417.4869,4406.6754,4493.6335,4724.0995,5010.6963,5007.1047,3526.712,2705.0681,2173.2094,2623.4974,3192.9058
24,PLR132,unexpected_w,1,pre,2nd,1002,4810,8,0,3921.396,3979.733,4031.6021,4080.3089,4221.8691,4198.9424,4442.3717,4472.3927,4198.1361,4120.644,4463.1257,4216.5602,1963.8325,1356.2042,1448.3089,1276.6492,1427.7016,2041.6911,2331.0157,2740.3874,3100.9948
25,PLR132,anticipated_w,1,pre,2nd,1003,4810,10,0,3354.359,3601.8848,3711.8429,3812.8743,4055.5079,4281.5654,4442.3455,4495.6597,4471.7749,4288.5131,4224.377,4081.6126,1919.9424,1322.733,1379.6859,1255.712,1654.9002,2325.0622,2647.2442,2993.5503,3139.8063
26,PLR132,anticipated_b,0,pre,2nd,1003,4812,8,0,3663.1018,3609.9791,3704.1047,3940.4111,4228.2608,4235.1675,4247.733,4027.466,4118.4921,3866.6073,3854.4084,3762.8953,3871.6387,4182.9581,4553.3089,4598.0681,3005.0785,2343.8691,2379.6545,2981.9005,3431.6335
