trialNumber,subid,condition,pre_post,pre_post2,cueTime,bgcTime,trialprog,feedback,baseline,window1,window2,window3,window4,window5,window6,window7,window8,window9,window10,window11,window12,window13,window14,window15,window16,window17,window18,window19,window20
4,PLR120,anticipated_w,pre,1st,1003,4810,3,1,2208.74,-24.185,26.5472,92.1229,114.238,59.2294,19.4173,82.6055,-61.8081,-39.8238,-49.5463,-32.1274,-887.6667,-1188.5934,-1224.9651,-1187.7109,-1064.2355,-826.9227,-641.226,-575.1041,-484.4021
5,PLR120,anticipated_b,pre,1st,1003,4810,1,1,2086.4728,-0.8341,5.0861,-15.4719,112.0513,317.8836,400.1816,345.2554,386.0793,401.3101,460.8465,387.5743,380.9852,621.8997,926.2916,1031.0051,284.121,-514.4234,-363.754,-283.6322,-298
6,PLR120,anticipated_b,pre,1st,1003,4810,2,0,1996.868,117.7865,98.4475,118.1872,218.4702,274.4863,314.8319,313.3938,303.9749,338.8597,392.0273,448.7389,488.3569,617.3218,864.4252,882.8294,-221.3465,-619.4542,-497.6324,-377.327,-315.3723
7,PLR120,anticipated_w,pre,1st,1002,4810,4,1,1930.6211,46.7265,15.9077,77.3138,157.8845,312.2899,426.693,454.8606,533.7297,541.3684,577.2218,487.0072,-290.6392,-742.8362,-746.8619,-790.3002,-644.0699,-374.372,-208.1729,-94.9516,-181.4664
8,PLR120,unexpected_w,pre,1st,1003,4810,2,0,1996.3815,10.2033,78.3986,19.2365,9.8252,158.578,224.5556,174.1866,102.42,152.2206,225.1054,237.4876,-657.5658,-901.8901,-948.2834,-874.3501,-737.7951,-482.6381,-360.2468,-295.2204,-250.2852
9,PLR120,anticipated_w,pre,1st,1003,4810,5,1,1773.006,47.1511,128.1704,234.6756,438.1074,602.0987,616.8422,632.6537,688.4128,718.4128,691.1092,557.905,-340.0993,-672.3531,-651.2835,-679.8948,-592.0822,-325.3466,-148.1631,-0.059683,70.8639
10,PLR120,anticipated_b,pre,1st,1003,4808,3,0,2015.3202,-115.5035,-167.561,-98.4746,32.4561,123.0237,166.3482,148.2976,55.5594,-8.6343,61.4913,87.9625,182.904,387.5478,619.6315,696.3185,-348.1481,-745.2353,-663.3478,-565.9755,-430.5244
11,PLR120,anticipated_b,pre,1st,1002,4810,4,1,1852.132,-22.8545,-28.2719,53.2828,129.0284,224.1075,303.2293,224.3916,169.0931,274.0094,334.2921,373.0722,438.5499,595.8166,832.1245,862.5668,-76.2942,-474.4805,-302.6598,-223.1163,-130.6346
12,PLR120,anticipated_w,pre,2nd,1003,4812,6,1,2026.51,-12.9764,-17.8611,30.6619,115.0711,201.8633,280.6104,137.0293,117.6628,92.7727,79.9298,22.5424,-747.6172,-1030.0087,-1070.0545,-1137.8555,-1029.0718,-751.4994,-563.6126,-464.2168,-360.8411
13,PLR120,anticipated_w,pre,2nd,1002,4810,7,0,1807.306,47.9558,115.6116,209.6044,371.8615,444.6992,378.2804,351.0605,225.0029,55.4584,50.3792,84.6372,-611.376,-843.1591,-788.6463,-824.0119,-738.5771,-504.4153,-359.9343,-245.4369,-166.3793
14,PLR120,unexpected_b,pre,1st,1003,4810,3,0,1967.884,52.3621,136.9956,211.352,212.4525,173.2649,234.9223,257.8228,288.6366,310.0846,349.2731,417.0794,467.6814,621.3074,883.8251,1121.1657,939.0548,401.5859,-63.3296,-110.9838,-29.9973
15,PLR120,anticipated_w,pre,2nd,1003,4810,8,0,2096.2882,24.4972,66.8489,90.4538,129.2887,211.4438,253.6372,318.2922,363.7305,288.7238,287.272,164.2563,-730.756,-1044.9824,-1008.4976,-1057.0326,-952.0207,-701.7123,-471.3405,-348.2934,-278.9919
16,PLR120,anticipated_w,pre,2nd,1003,4812,9,1,1875.274,54.9407,99.109,139.3377,269.1581,398.7148,395.7261,365.26,320.1396,353.7469,370.6108,315.1501,-553.0272,-857.993,-866.2321,-875.4991,-784.6898,-515.2621,-359.7758,-234.2059,-127.096
17,PLR120,anticipated_b,pre,1st,1003,4810,5,1,2110.0056,23.8152,67.9781,156.5095,309.5546,231.2038,126.3871,183.8112,244.1779,323.2503,315.2352,312.6017,366.6772,509.4772,701.3098,746.23,-282.2098,-691.0164,-601.8979,-410.8066,-291.8433
18,PLR120,unexpected_w,pre,1st,1003,4810,4,0,2136.288,42.801,39.8002,-0.54385,79.5958,90.1989,84.4765,103.5112,158.7486,194.9738,248.1308,230.0104,-673.4727,-1014.9979,-997.8063,-1004.8851,-876.6926,-619.6021,-442.7943,-335.6546,-250.047
19,PLR120,unexpected_b,pre,1st,1002,4808,5,0,2044.8003,-125.4337,-136.3762,-149.4993,-47.0246,62.4758,196.1084,261.8384,309.5034,290.2468,322.4055,355.1746,469.9491,651.1067,937.08,1010.9632,-22.3275,-509.6342,-450.1364,-280.5121,-238.7809
20,PLR120,anticipated_b,pre,2nd,1002,4810,6,1,1888.37,166.0855,126.5881,143.3501,241.6599,356.2792,439.719,411.4834,401.0907,487.3682,543.6091,493.7452,535.1594,751.5937,998.1117,996.1559,15.1549,-492.3541,-344.189,-158.0536,-65.9306
21,PLR120,anticipated_b,pre,2nd,1003,4812,7,1,2238.966,-188.6205,-92.7759,-5.9827,40.0131,64.6727,56.7356,158.8926,187.4057,229.1754,292.7513,383.034,461.8722,628.2474,863.5698,733.6203,-312.5345,-765.1363,-639.7396,-422.5306,-371.6061
22,PLR120,anticipated_w,pre,2nd,1003,4812,10,1,2123.7456,120.579,46.6942,67.2754,126.155,151.9874,165.5005,270.8461,320.7989,428.5686,467.8879,319.134,-643.6707,-1026.1194,-1025.8032,-1127.6513,-1062.044,-816.8765,-629.1487,-438.2682,-356.3109
23,PLR120,unexpected_w,pre,2nd,1003,4810,6,0,2064.942,73.8538,62.2561,88.4722,98.1112,160.0309,166.3596,69.6234,94.5397,122.147,120.1522,33.9376,-807.7829,-1007.9188,-932.611,-808.077,-707.6613,-501.2008,-372.4694,-309.3627,-266.8713
24,PLR120,anticipated_b,pre,2nd,1003,4810,8,0,1994.4625,22.2422,63.2757,81.8825,96.7469,197.621,217.5951,244.6055,328.9511,353.3909,377.8464,409.9301,402.2799,609.6653,898.354,922.4792,15.9584,-586.2649,-369.6735,-233.4671,-191.9128
25,PLR120,anticipated_w,post,3rd,1003,4812,11,0,1973.74,144.0506,185.349,225.8727,248.0832,237.667,283.2234,375.4694,382.0453,401.2652,521.2862,404.2181,-549.6017,-901.6987,-874.0594,-932.7294,-859.0431,-595.3119,-379.8842,-271.6579,-214.4628
26,PLR120,unexpected_b,pre,2nd,1003,4810,7,0,1952.296,100.8297,212.8242,261.0375,255.0253,245.3741,222.4144,128.3865,238.0757,218.9621,276.1395,367.3794,375.3689,616.3261,862.9297,1081.0112,246.4161,-217.2195,-224.6764,-76.6934,8.6163
27,PLR120,anticipated_b,pre,2nd,1002,4810,9,1,2060.134,11.688,-16.5214,54.9869,130.7039,180.4057,133.777,133.8869,229.0964,238.9707,292.9864,342.311,372.8843,583.8773,837.0472,857.8168,-175.5847,-629.3011,-478.9578,-320.5705,-158.3135
28,PLR120,anticipated_b,pre,2nd,1003,4810,10,1,2187.3084,-32.8616,4.6837,78.2993,89.632,90.7021,122.8853,189.7806,258.1,260.3199,343.257,443.456,488.4574,667.0195,825.513,796.3094,-292.1735,-688.9613,-509.633,-305.8555,-190.4026
29,PLR120,unexpected_w,pre,2nd,1003,4812,8,0,1916.788,-333.1702,-295.084,-139.6071,-103.4623,16.8636,129.5974,254.3848,281.2591,244.9816,302.5418,279.3638,-582.7461,-870.3014,-860.6845,-827.6504,-617.5298,-339.7411,-220.1493,-169.5157,-120.9608
30,PLR120,unexpected_w,pre,2nd,1002,4810,9,0,2036.926,114.0321,110.3986,118.6847,108.0936,20.4437,93.978,141.0321,142.8384,278.9431,347.5452,179.1473,-699.6537,-1008.8094,-1013.5254,-1024.9731,-913.6256,-654.5185,-541.7428,-374.7009,-272.6511
31,PLR120,anticipated_b,post,3rd,1002,4812,11,0,1857.695,19.4568,131.3416,223.0289,342.6167,433.1532,383.5982,411.3469,482.6505,486.839,535.4935,608.4621,663.9696,832.7515,1004.265,1004.1576,82.9229,-429.6898,-359.4437,-210.3364,-68.5432
32,PLR120,anticipated_w,post,3rd,1003,4812,12,0,1898.588,30.4172,99.4445,156.1024,224.2378,293.0717,296.3806,382.3696,453.9513,446.2811,412.3073,357.0822,-485.1942,-814.1304,-804.7974,-809.5897,-720.0381,-423.2569,-318.1441,-222.7123,-123.6622
33,PLR120,unexpected_b,pre,2nd,1002,4810,10,0,2027.214,27.0216,30.0205,121.569,147.0635,124.7389,239.3514,328.8279,284.6677,248.7216,185.0844,174.8541,327.6342,608.0028,858.3579,982.2602,526.788,-107.0902,-228.2944,-200.2118,-229.5703
34,PLR120,anticipated_w,post,3rd,1003,4810,13,0,2058.202,84.7352,161.8032,209.024,281.5665,321.7561,305.6409,330.8034,286.3406,326.5467,376.4682,337.353,-571.469,-888.9409,-845.6516,-817.7053,-717.6427,-463.3991,-279.9495,-190.3617,-220.1701
35,PLR120,unexpected_w,post,3rd,1003,4810,11,0,2132.912,13.8629,82.8454,68.1405,38.04,107.5529,199.3864,218.7582,148.2708,193.6889,276.5592,227.8733,-716.76,-970.5624,-1004.2573,-996.8491,-910.1477,-618.0663,-441.1351,-302.4932,-213.6921
36,PLR120,unexpected_w,post,3rd,1002,4812,12,0,2046.63,17.5009,135.5827,176.5698,176.7279,128.1193,135.8441,212.2208,228.381,169.1598,241.6789,277.3334,-629.2877,-948.0314,-933.3892,-964.1834,-791.8754,-561.2959,-390.5148,-297.9639,-217.5399
37,PLR120,anticipated_w,post,3rd,1003,4810,14,0,2121.1531,-17.8232,-100.7761,-19.147,96.6301,167.6329,271.3505,378.6427,272.4542,226.9045,234.9516,115.0145,-794.5245,-1076.543,-1048.8547,-1051.5695,-944.8827,-708.5981,-542.5316,-421.7424,-347.9244
38,PLR120,anticipated_w,post,3rd,1003,4812,15,0,1911.344,119.8811,185.5283,271.671,348.5827,417.1063,443.7031,508.2884,528.3442,537.8078,504.6351,556.7869,-371.3761,-783.8196,-777.9618,-789.1949,-652.8557,-409.8693,-247.9652,-144.6603,-110.3859
39,PLR120,anticipated_w,post,4th,1002,4808,16,1,2002.8844,51.5135,78.9866,137.9078,237.8695,195.7229,275.731,336.8553,341.5868,316.7151,372.7858,393.0528,-478.3977,-891.2403,-890.6697,-832.2728,-712.1506,-510.5367,-302.0648,-176.5807,-146.0101
40,PLR120,anticipated_w,post,4th,1002,4810,17,0,2064.716,-311.9883,-262.25,-136.9778,-120.7265,-56.6562,-52.5634,-38.5584,-5.3443,-37.7265,-113.7212,-129.2867,-866.9905,-1059.8018,-1000.0773,-1078.1663,-1003.4851,-682.2369,-545.4812,-446.3634,-363.9548
41,PLR120,anticipated_b,post,3rd,1002,4810,12,0,1832.576,123.3612,186.6491,222.3539,57.0977,303.1363,356.2331,328.9266,318.6648,311.0575,340.1622,359.7538,414.5457,610.0484,791.8189,885.8376,-89.4407,-582.4922,-571.5748,-558.1714,-433.9791
42,PLR120,unexpected_b,post,3rd,1002,4810,13,0,1642.344,1.6717,86.4152,139.715,156.9654,214.4248,228.9231,286.2267,296.5302,307.8957,353.0906,431.0696,462.6067,634.1203,923.8723,1053.3733,100.8337,-253.2128,-119.0916,-46.1276,71.9096
43,PLR120,anticipated_w,post,4th,1002,4810,18,0,1974.9885,79.1718,78.5599,14.3832,88.9212,117.7131,-7.2575,-62.8575,3.8073,69.2364,136.4465,103.5665,-696.3005,-965.909,-950.1246,-964.5723,-830.4805,-579.0304,-456.2076,-326.2498,-189.6482
44,PLR120,unexpected_b,post,3rd,1003,4808,14,0,1912.332,-53.798,35.6487,101.5359,116.6936,124.4638,4.2073,-52.2512,-7.7861,5.5534,50.5371,81.202,172.1468,431.6125,628.2892,746.3382,-260.405,-628.0397,-495.3477,-331.7918,-276.6664
