trialNumber,subid,condition,bgcol,pre_post,pre_post2,cueTime,bgcTime,trialprog,feedback,baseline,window38,window418,window798,window1178,window1558,window1938,window2318,window2698,window3078,window3458,window3838,window4218,window4598,window4978,window5358,window5738,window6118,window6498,window6878,window7258
38,PLR126,anticipated_b,0,post,3rd,1002,4810,13,0,1493.69,1398.3901,1578.7974,1757.9907,1872.7635,1835.8161,1640.2695,1467.7816,1483.0886,1681.2044,1746.9844,1778.4476,1934.2342,2273.2829,2609.4638,2532.6576,2016.5727,1436.9614,1177.448,1200.189,1171.8355
39,PLR126,anticipated_b,0,post,3rd,1003,4810,14,0,1526.3494,1547.8069,1499.7196,1663.5326,1557.3387,1486.3591,1414.6419,1519.0748,1411.1461,1405.0753,1475.1909,1507.8175,1849.5053,2123.2778,2504.3592,2354.3906,1215.0702,994.2305,1142.2634,1205.6299,1352.1148
40,PLR126,unexpected_w,1,post,3rd,1002,4808,12,0,1786.4048,1804.1102,1769.8419,1804.6328,1765.3162,1464.2898,1514.3737,1609.956,1552.0325,1701.2884,1699.3903,1480.7419,900.5611,827.1738,852.2331,970.5226,1257.3239,1408.098,1472.9963,1512.8246,1655.1199
41,PLR126,unexpected_w,1,post,3rd,1002,4810,13,0,1827.5916,1885.0471,1766.4674,1848.7399,1782.4558,1560.4447,1406.1066,1605.6878,1762.9282,1865.8532,1841.4411,1647.4584,870.9396,894.1481,909.2501,962.233,1256.7613,1473.6565,1541.2439,1564.8833,1630.6573
42,PLR126,anticipated_w,1,post,3rd,1002,4810,15,0,1915.4153,1913.4564,1924.5847,1767.5648,1793.1872,1853.226,1771.4297,1581.8143,1632.1456,1801.5165,1734.1116,1531.8221,874.8979,837.3555,905.4603,959.0041,1240.3613,1464.3713,1605.7985,1786.7979,1814.3887
43,PLR126,anticipated_b,0,post,3rd,1003,4812,15,1,1895.7472,1919.2684,1874.9283,1902.2835,1807.2883,1642.5864,1736.5059,1857.3981,2046.8165,2082.2556,2047.8982,2254.8225,2412.7089,2764.9458,3087.6246,3009.8275,2001.9058,1368.126,1519.6899,1485.6713,1687.5201
44,PLR126,unexpected_b,0,post,3rd,1003,4810,14,0,1722.7808,1652.3904,1796.2833,1793.0718,1680.4154,1457.4548,1205.5249,1292.7333,1368.4992,1424.0584,1392.0617,1381.0467,1517.1935,1868.9756,2270.4987,2361.5245,1251.8302,942.1404,989.7806,1155.8975,1252.35
45,PLR126,anticipated_w,1,post,4th,1003,4810,16,0,1700.1184,1792.334,1614.4254,1627.6322,1758.9326,1629.3543,1738.364,1818.0872,1896.051,2137.4799,1971.6187,1787.1774,973.7557,857.2653,833.7199,782.8815,970.1728,1160.5362,1285.4165,1175.0726,1173.0012
46,PLR126,anticipated_w,1,post,4th,1002,4810,17,0,1522.5702,1490.0872,1542.2952,1717.7512,1727.6129,1540.9844,1593.7165,1660.2875,1809.1031,1620.5389,1489.9013,1457.6005,818.5409,764.1407,724.7258,754.2328,886.0256,1058.4232,1287.1968,1330.8988,1444.3876
47,PLR126,unexpected_b,0,post,3rd,1003,4810,15,0,1756.4968,1737.6366,1767.1554,1898.9947,1880.1011,1607.6319,1448.1955,1501.3322,1383.5627,1528.9829,1532.5974,1522.8357,1742.1094,2146.2944,2485.5052,2352.7307,1184.3584,978.539,1082.793,1166.0947,1273.9143
48,PLR126,unexpected_w,1,post,4th,1002,4810,16,0,1737.5074,1741.8562,1731.3915,1806.7731,1778.7387,1569.7191,1505.9276,1828.9516,1977.6601,1969.111,1757.779,1768.4955,924.5951,845.549,865.5326,865.1188,1149.2527,1413.8319,1503.0308,1394.4475,1389.35
49,PLR126,anticipated_b,0,post,4th,1002,4810,16,0,1803.0571,1745.3764,1860.4001,1919.4178,2062.6083,2033.3852,2042.0869,2027.9168,2122.1678,2041.2154,2082.5959,2233.1968,2425.9358,2648.6946,2936.1556,2876.5296,1710.6841,1311.4271,1194.6282,1389.6283,1623.5332
50,PLR126,unexpected_b,0,post,4th,1003,4812,17,0,1950.8959,1954.2837,1941.6545,1990.3099,1759.8635,1473.0731,1356.1126,1335.7169,1613.8726,1793.9607,1813.7344,1647.0092,1773.5114,2111.3866,2427.9724,2390.4968,1366.1551,1262.4643,1479.7082,1437.933,1379.1602
51,PLR126,anticipated_w,1,post,4th,1002,4808,18,1,1760.8383,1719.2261,1800.8348,1814.8194,1834.3443,1546.0183,1553.3881,1695.4426,1578.511,1660.2578,1908.8655,1623.8248,935.4987,872.1842,854.4418,902.7915,1176.6192,1467.47,1620.112,1666.7314,1678.1778
52,PLR126,unexpected_w,1,post,4th,1003,4812,18,0,1657.6427,1592.2025,1720.4791,1715.9356,1564.1525,1513.2676,1684.27,1748.1259,1858.2637,1868.779,2012.8971,1890.3146,955.3508,855.9172,867.5946,958.5509,1231.6847,1500.396,1663.2866,1784.7536,1770.0776
53,PLR126,anticipated_b,0,post,4th,1003,4810,17,1,1981.2453,1988.8487,1972.9046,2005.986,2007.2792,1968.4277,1686.7228,1771.2133,1927.1738,2075.4787,2017.1171,2041.5007,2192.1525,2505.984,2795.9414,2725.7813,1705.7296,1245.2533,1374.3459,1530.1662,1644.2749
54,PLR126,anticipated_b,0,post,4th,1003,4812,18,0,1654.6938,1577.8311,1727.6389,1770.7587,1671.6151,1358.6366,1537.5134,1625.4611,1745.3731,1884.8544,1974.4468,1986.2532,2163.297,2403.7986,2700.2178,2625.7943,1799.9195,1186.2119,1066.5549,983.7344,1178.1767
55,PLR126,unexpected_b,0,post,4th,1003,4810,19,0,1656.4033,1655.2333,1658.0348,1725.1915,1577.4937,1467.6897,1594.0088,1496.609,1298.2777,1270.5393,1504.7586,1696.336,1872.7764,2149.7551,2420.5442,2349.2451,1230.0228,1098.8638,1252.2709,1199.9419,1319.9136
56,PLR126,anticipated_w,1,post,4th,1003,4812,19,1,1726.7539,1742.6212,1721.8597,1643.0968,1585.0129,1561.6459,1394.3113,1312.3257,1472.2765,1615.6817,1660.8192,1577.3252,893.7912,817.8488,839.7528,938.7729,1136.9985,1413.199,1579.94,1713.0797,1636.8884
57,PLR126,anticipated_b,0,post,4th,1003,4810,19,0,1878.5975,1845.9396,1910.4765,2007.2013,1884.4476,1672.9334,1815.951,1873.8199,2009.3817,2041.9028,1933.5071,1965.2537,2137.5422,2417.5843,2720.2842,2590.2828,1365.5211,1173.7844,1298.3884,1124.1795,1283.0343
58,PLR126,anticipated_b,0,post,4th,1003,4810,20,0,1718.9101,1660.9225,1779.6026,1726.1803,1536.6678,1433.9525,1337.9374,1513.0159,1600.8219,1495.1531,1419.2713,1672.4964,1955.4792,2229.0395,2593.9787,2361.664,1383.7914,1025.4455,1044.1228,1198.2537,1221.7077
59,PLR126,anticipated_w,1,post,4th,1003,4812,20,0,1390.9249,1366.1416,1400.8218,1588.7123,1610.6774,1383.4909,1491.5135,1616.0544,1581.2428,1620.395,1846.2953,1746.4036,900.7875,790.2841,828.9585,857.1938,1079.4549,1353.9096,1396.0485,1365.1334,1354.2179
60,PLR126,unexpected_w,1,post,4th,1003,4810,20,0,1738.7509,1712.3827,1766.5015,1785.5086,1808.2763,1603.2252,1462.594,1583.5014,1621.5705,1752.9307,1737.7473,1540.0098,850.6633,800.7071,871.7311,953.818,1240.8133,1444.3732,1541.6343,1566.4601,1578.646
1,PLR127,anticipated_b,0,pre,1st,1001,4838,1,1,2227.338,2161.5157,2311.6795,2314.0681,2527.5714,2611.9609,2662.6314,2351.2,2151.9688,2258.0372,2326.0712,2307.9798,2471.119,2644.1573,2850.9199,2981.4382,1676.8562,1289.0397,1319.1608,1654.4471,1856.0499
2,PLR127,anticipated_w,1,pre,1st,1002,4812,1,1,2414.3979,2463.1379,2389.575,2052.7901,2142.4006,2246.4406,2488.8191,2602.1461,2700.8283,2694.7661,2472.1525,2162.3046,1165.9146,905.3698,1001.9749,1053.4718,1220.8218,1235.537,1383.2315,1599.0553,1613.2532
3,PLR127,unexpected_b,0,pre,1st,1002,4810,1,0,2447.6386,2439.9253,2467.0645,2356.3571,2570.5442,2226.799,2144.3462,2199.0701,2124.7438,2038.4478,1941.8518,1958.5274,2302.3519,2701.8355,2947.6487,2943.636,1677.4882,1330.6088,1498.5489,1838.809,2075.6759
4,PLR127,anticipated_b,0,pre,1st,1002,4810,2,1,1517.4551,1413.703,1617.9905,1702.3317,2078.469,2276.1937,2320.021,2512.0307,2636.2045,2654.0022,2460.9901,2479.9755,2568.1644,2872.5975,3338.3323,3391.8335,1794.0619,1413.2512,1658.4168,1898.6024,1919.272
5,PLR127,anticipated_w,1,pre,1st,1003,4810,2,0,1616.8458,1678.4877,1553.9388,1577.0053,1694.0385,1570.263,1686.8583,1652.3282,1484.0614,1452.8558,1607.0204,1707.1686,1033.7151,892.6621,927.9394,897.3953,1119.6165,1300.9736,1409.3822,1521.0559,1452.3038
6,PLR127,anticipated_w,1,pre,1st,1002,4808,3,1,1721.7934,1606.8232,1820.7285,2018.3646,2134.2345,2189.5305,2021.9143,1798.9398,1838.6034,1945.5301,2070.7747,2054.8779,1090.5149,916.6238,992.7674,1160.3678,1374.1779,1519.7285,1625.4103,1469.3421,1261.1578
7,PLR127,anticipated_b,0,pre,1st,1003,4810,3,0,1913.1496,1952.5243,1878.3695,1910.4699,2006.6682,1689.2643,1726.56,1736.2185,1879.7339,1984.7112,2022.8863,2079.145,2183.8966,2537.3702,3026.6189,3118.1723,1738.4793,1306.4545,1482.943,1843.8993,1974.3192
8,PLR127,anticipated_b,0,pre,1st,1002,4810,4,0,1348.3135,1346.4071,1346.4094,1387.3353,1653.8922,1907.9668,1940.5569,1968.5038,2165.3151,2199.1025,2133.2004,2266.7794,2501.6655,2773.0546,3105.9179,3030.9133,1429.5139,1126.5341,1319.5802,1516.7438,1599.5414
9,PLR127,anticipated_b,0,pre,1st,1003,4810,5,0,1710.9625,1833.6445,1599.7101,1390.8672,1484.1535,1673.2493,1906.8888,1971.2865,2067.394,2183.0285,2311.3079,2132.6608,2318.3005,2598.5541,2902.0036,2884.7543,1560.6945,1130.4564,1218.6302,1372.4378,1662.9677
10,PLR127,anticipated_b,0,pre,2nd,1003,4810,6,1,1832.5205,2012.9208,1668.0509,1336.298,1255.0127,1324.1358,1462.3045,1709.1588,1611.4157,1895.1906,1974.8943,1830.744,2136.0597,2456.5105,2780.9359,2749.771,1430.2035,1181.6274,1439.3338,1711.9018,1839.7079
11,PLR127,unexpected_w,1,pre,1st,1002,4810,2,0,1978.84,1988.0526,1976.6768,1832.0853,1710.2016,1569.1227,1153.3291,1161.7673,1429.3714,1566.5567,1624.652,1726.0637,1002.1442,956.3096,1011.1582,1066.7005,1264.5008,1295.0933,1423.8299,1223.0019,1005.9372
12,PLR127,anticipated_b,0,pre,2nd,1003,4812,7,0,2025.6918,1972.6114,2079.5037,2121.9896,2105.3054,1686.3,1475.0733,1361.7907,1176.55,1199.1929,1445.0411,1692.8093,1923.6023,2233.3119,2479.9601,2433.5466,1187.2102,938.5145,1201.3138,1502.9301,1532.1444
13,PLR127,anticipated_w,1,pre,1st,1003,4812,4,1,1640.5377,1779.2932,1516.5614,1300.2667,1366.4552,1317.8394,1568.4427,1682.6234,1873.746,2043.5553,2151.0745,2120.8365,1093.267,903.5589,951.6809,1021.3552,1113.7894,1238.1769,1389.0573,1478.6683,1695.4157
14,PLR127,unexpected_b,0,pre,1st,1002,4812,3,0,1884.9844,1877.1057,1898.469,1916.6871,1994.3677,1893.4548,1848.7787,1660.1098,1528.4408,1706.7569,1899.5559,2023.0907,2207.1576,2406.3712,2711.2543,2675.1526,1417.2058,1208.1487,1455.8723,1779.6737,2022.4511
